,MSOA11CD,Count
0,E02000001,35.0
1,E02000002,1.0
2,E02000003,2.0
3,E02000004,1.0
4,E02000005,3.0
5,E02000007,2.0
6,E02000008,1.0
7,E02000009,1.0
8,E02000010,
9,E02000011,1.0
10,E02000012,1.0
11,E02000013,1.0
12,E02000014,2.0
13,E02000015,1.0
14,E02000016,5.0
15,E02000017,
16,E02000018,2.0
17,E02000019,4.0
18,E02000020,1.0
19,E02000021,
20,E02000022,1.0
21,E02000023,
22,E02000024,5.0
23,E02000025,
24,E02000026,
25,E02000027,
26,E02000028,2.0
27,E02000029,4.0
28,E02000030,
29,E02000031,3.0
30,E02000032,1.0
31,E02000033,2.0
32,E02000034,2.0
33,E02000035,
34,E02000036,2.0
35,E02000037,2.0
36,E02000038,2.0
37,E02000039,5.0
38,E02000040,3.0
39,E02000041,3.0
40,E02000042,3.0
41,E02000043,
42,E02000044,
43,E02000045,1.0
44,E02000046,1.0
45,E02000047,
46,E02000048,
47,E02000049,1.0
48,E02000050,1.0
49,E02000051,2.0
50,E02000052,3.0
51,E02000053,3.0
52,E02000054,
53,E02000055,6.0
54,E02000056,1.0
55,E02000057,
56,E02000058,2.0
57,E02000059,2.0
58,E02000060,
59,E02000061,3.0
60,E02000062,7.0
61,E02000063,
62,E02000064,2.0
63,E02000065,
64,E02000066,
65,E02000067,4.0
66,E02000068,3.0
67,E02000069,
68,E02000070,
69,E02000071,1.0
70,E02000072,2.0
71,E02000073,2.0
72,E02000074,
73,E02000075,1.0
74,E02000077,1.0
75,E02000078,1.0
76,E02000079,7.0
77,E02000080,6.0
78,E02000081,
79,E02000082,2.0
80,E02000083,3.0
81,E02000084,
82,E02000085,4.0
83,E02000086,
84,E02000087,
85,E02000088,1.0
86,E02000089,1.0
87,E02000090,5.0
88,E02000091,
89,E02000092,1.0
90,E02000093,1.0
91,E02000094,4.0
92,E02000095,2.0
93,E02000096,1.0
94,E02000097,1.0
95,E02000098,
96,E02000099,2.0
97,E02000100,2.0
98,E02000101,3.0
99,E02000102,
100,E02000103,1.0
101,E02000104,
102,E02000105,2.0
103,E02000106,3.0
104,E02000107,
105,E02000108,1.0
106,E02000109,7.0
107,E02000110,1.0
108,E02000111,
109,E02000112,2.0
110,E02000113,1.0
111,E02000114,2.0
112,E02000115,2.0
113,E02000116,1.0
114,E02000117,
115,E02000118,2.0
116,E02000119,1.0
117,E02000120,1.0
118,E02000121,2.0
119,E02000122,
120,E02000123,2.0
121,E02000124,5.0
122,E02000125,1.0
123,E02000126,1.0
124,E02000127,2.0
125,E02000128,3.0
126,E02000130,2.0
127,E02000131,1.0
128,E02000132,5.0
129,E02000133,
130,E02000134,4.0
131,E02000135,2.0
132,E02000136,1.0
133,E02000137,
134,E02000138,1.0
135,E02000139,3.0
136,E02000140,3.0
137,E02000141,4.0
138,E02000142,2.0
139,E02000144,4.0
140,E02000145,5.0
141,E02000146,2.0
142,E02000147,1.0
143,E02000148,3.0
144,E02000149,
145,E02000150,2.0
146,E02000151,2.0
147,E02000152,
148,E02000153,1.0
149,E02000154,4.0
150,E02000155,
151,E02000156,4.0
152,E02000157,1.0
153,E02000158,1.0
154,E02000159,4.0
155,E02000160,2.0
156,E02000161,1.0
157,E02000162,1.0
158,E02000163,2.0
159,E02000165,2.0
160,E02000166,1.0
161,E02000167,2.0
162,E02000168,5.0
163,E02000169,1.0
164,E02000170,2.0
165,E02000171,
166,E02000172,2.0
167,E02000173,4.0
168,E02000174,
169,E02000175,5.0
170,E02000176,1.0
171,E02000177,2.0
172,E02000178,1.0
173,E02000179,1.0
174,E02000180,2.0
175,E02000181,
176,E02000182,3.0
177,E02000183,1.0
178,E02000184,2.0
179,E02000185,5.0
180,E02000186,9.0
181,E02000187,5.0
182,E02000188,3.0
183,E02000189,1.0
184,E02000190,2.0
185,E02000191,6.0
186,E02000192,6.0
187,E02000193,6.0
188,E02000194,2.0
189,E02000195,1.0
190,E02000196,1.0
191,E02000197,2.0
192,E02000198,
193,E02000199,
194,E02000200,2.0
195,E02000201,2.0
196,E02000202,1.0
197,E02000203,3.0
198,E02000204,3.0
199,E02000206,2.0
200,E02000207,1.0
201,E02000208,1.0
202,E02000209,1.0
203,E02000210,
204,E02000211,2.0
205,E02000212,1.0
206,E02000213,8.0
207,E02000214,2.0
208,E02000215,2.0
209,E02000216,
210,E02000217,5.0
211,E02000218,1.0
212,E02000219,2.0
213,E02000220,8.0
214,E02000221,3.0
215,E02000222,2.0
216,E02000223,
217,E02000224,1.0
218,E02000225,2.0
219,E02000226,3.0
220,E02000227,2.0
221,E02000228,
222,E02000229,2.0
223,E02000230,2.0
224,E02000231,
225,E02000232,2.0
226,E02000233,1.0
227,E02000234,3.0
228,E02000235,
229,E02000236,1.0
230,E02000237,
231,E02000238,1.0
232,E02000239,1.0
233,E02000240,
234,E02000241,1.0
235,E02000242,
236,E02000243,4.0
237,E02000244,1.0
238,E02000245,1.0
239,E02000246,4.0
240,E02000247,2.0
241,E02000248,
242,E02000249,3.0
243,E02000250,2.0
244,E02000251,
245,E02000252,5.0
246,E02000253,1.0
247,E02000254,
248,E02000255,
249,E02000256,2.0
250,E02000257,8.0
251,E02000258,2.0
252,E02000259,
253,E02000260,2.0
254,E02000261,1.0
255,E02000262,3.0
256,E02000263,
257,E02000264,3.0
258,E02000265,4.0
259,E02000266,
260,E02000267,1.0
261,E02000268,2.0
262,E02000269,2.0
263,E02000270,1.0
264,E02000271,
265,E02000272,1.0
266,E02000274,1.0
267,E02000275,
268,E02000276,
269,E02000277,1.0
270,E02000278,1.0
271,E02000279,1.0
272,E02000280,2.0
273,E02000281,
274,E02000282,2.0
275,E02000283,1.0
276,E02000284,1.0
277,E02000285,
278,E02000286,2.0
279,E02000287,2.0
280,E02000288,4.0
281,E02000289,
282,E02000290,1.0
283,E02000291,7.0
284,E02000292,1.0
285,E02000293,1.0
286,E02000294,2.0
287,E02000295,1.0
288,E02000296,4.0
289,E02000297,1.0
290,E02000298,1.0
291,E02000299,
292,E02000300,
293,E02000301,
294,E02000302,1.0
295,E02000303,
296,E02000304,
297,E02000305,1.0
298,E02000306,3.0
299,E02000307,
300,E02000308,1.0
301,E02000309,3.0
302,E02000311,
303,E02000312,1.0
304,E02000313,
305,E02000314,4.0
306,E02000315,2.0
307,E02000316,7.0
308,E02000317,
309,E02000318,2.0
310,E02000319,
311,E02000320,1.0
312,E02000321,
313,E02000323,2.0
314,E02000324,2.0
315,E02000326,
316,E02000327,
317,E02000328,
318,E02000329,1.0
319,E02000331,2.0
320,E02000332,
321,E02000333,2.0
322,E02000334,
323,E02000335,
324,E02000337,1.0
325,E02000339,5.0
326,E02000340,4.0
327,E02000341,1.0
328,E02000342,1.0
329,E02000343,
330,E02000344,
331,E02000345,2.0
332,E02000346,2.0
333,E02000347,
334,E02000348,1.0
335,E02000350,
336,E02000351,2.0
337,E02000352,
338,E02000353,3.0
339,E02000354,
340,E02000355,1.0
341,E02000356,
342,E02000357,
343,E02000358,2.0
344,E02000359,2.0
345,E02000360,2.0
346,E02000361,5.0
347,E02000362,1.0
348,E02000363,1.0
349,E02000364,2.0
350,E02000365,5.0
351,E02000366,1.0
352,E02000367,4.0
353,E02000368,
354,E02000369,4.0
355,E02000370,1.0
356,E02000371,8.0
357,E02000372,3.0
358,E02000373,1.0
359,E02000374,
360,E02000375,3.0
361,E02000376,3.0
362,E02000377,5.0
363,E02000378,3.0
364,E02000379,
365,E02000380,
366,E02000381,1.0
367,E02000382,3.0
368,E02000383,2.0
369,E02000384,7.0
370,E02000385,1.0
371,E02000386,2.0
372,E02000387,1.0
373,E02000388,3.0
374,E02000389,4.0
375,E02000390,2.0
376,E02000391,2.0
377,E02000392,7.0
378,E02000393,1.0
379,E02000394,2.0
380,E02000395,1.0
381,E02000396,1.0
382,E02000397,1.0
383,E02000398,
384,E02000400,2.0
385,E02000401,1.0
386,E02000402,
387,E02000403,
388,E02000404,1.0
389,E02000405,
390,E02000406,
391,E02000407,
392,E02000408,3.0
393,E02000409,1.0
394,E02000410,2.0
395,E02000411,2.0
396,E02000412,6.0
397,E02000413,
398,E02000414,
399,E02000415,1.0
400,E02000416,2.0
401,E02000417,3.0
402,E02000418,
403,E02000419,1.0
404,E02000420,2.0
405,E02000421,3.0
406,E02000422,1.0
407,E02000423,1.0
408,E02000424,1.0
409,E02000425,
410,E02000426,
411,E02000427,2.0
412,E02000428,1.0
413,E02000429,
414,E02000430,4.0
415,E02000431,3.0
416,E02000432,
417,E02000433,2.0
418,E02000434,1.0
419,E02000435,
420,E02000436,
421,E02000437,3.0
422,E02000438,2.0
423,E02000439,2.0
424,E02000440,2.0
425,E02000441,1.0
426,E02000442,1.0
427,E02000443,1.0
428,E02000444,1.0
429,E02000445,1.0
430,E02000447,
431,E02000448,3.0
432,E02000449,1.0
433,E02000451,1.0
434,E02000452,3.0
435,E02000453,2.0
436,E02000454,1.0
437,E02000455,4.0
438,E02000456,
439,E02000457,2.0
440,E02000459,2.0
441,E02000460,1.0
442,E02000461,
443,E02000462,3.0
444,E02000463,
445,E02000464,
446,E02000465,
447,E02000466,
448,E02000467,4.0
449,E02000468,2.0
450,E02000469,1.0
451,E02000470,2.0
452,E02000471,1.0
453,E02000472,
454,E02000473,2.0
455,E02000474,3.0
456,E02000475,1.0
457,E02000476,12.0
458,E02000477,2.0
459,E02000478,
460,E02000479,1.0
461,E02000480,1.0
462,E02000481,
463,E02000482,1.0
464,E02000483,4.0
465,E02000484,2.0
466,E02000485,4.0
467,E02000486,1.0
468,E02000487,1.0
469,E02000488,2.0
470,E02000489,2.0
471,E02000490,2.0
472,E02000491,
473,E02000492,
474,E02000493,1.0
475,E02000494,
476,E02000495,4.0
477,E02000496,1.0
478,E02000497,1.0
479,E02000498,1.0
480,E02000499,2.0
481,E02000500,6.0
482,E02000501,1.0
483,E02000502,1.0
484,E02000503,
485,E02000504,1.0
486,E02000506,1.0
487,E02000507,1.0
488,E02000508,1.0
489,E02000509,4.0
490,E02000510,3.0
491,E02000511,2.0
492,E02000512,
493,E02000513,1.0
494,E02000514,2.0
495,E02000515,5.0
496,E02000516,
497,E02000517,
498,E02000518,
499,E02000519,1.0
500,E02000520,3.0
501,E02000521,3.0
502,E02000522,
503,E02000523,3.0
504,E02000524,4.0
505,E02000525,1.0
506,E02000526,1.0
507,E02000528,3.0
508,E02000529,2.0
509,E02000530,4.0
510,E02000531,1.0
511,E02000532,2.0
512,E02000533,
513,E02000534,1.0
514,E02000535,2.0
515,E02000536,1.0
516,E02000537,1.0
517,E02000538,1.0
518,E02000539,2.0
519,E02000540,3.0
520,E02000541,1.0
521,E02000542,3.0
522,E02000543,4.0
523,E02000544,
524,E02000545,3.0
525,E02000546,1.0
526,E02000547,2.0
527,E02000548,2.0
528,E02000549,2.0
529,E02000550,4.0
530,E02000551,1.0
531,E02000552,
532,E02000553,1.0
533,E02000554,
534,E02000555,2.0
535,E02000556,6.0
536,E02000557,4.0
537,E02000558,1.0
538,E02000559,1.0
539,E02000560,4.0
540,E02000561,2.0
541,E02000562,
542,E02000563,
543,E02000564,5.0
544,E02000565,1.0
545,E02000566,2.0
546,E02000567,
547,E02000568,3.0
548,E02000569,4.0
549,E02000570,1.0
550,E02000571,2.0
551,E02000572,2.0
552,E02000573,8.0
553,E02000574,3.0
554,E02000575,7.0
555,E02000576,8.0
556,E02000577,1.0
557,E02000578,
558,E02000579,3.0
559,E02000580,1.0
560,E02000581,2.0
561,E02000582,3.0
562,E02000583,2.0
563,E02000584,1.0
564,E02000585,1.0
565,E02000586,2.0
566,E02000587,1.0
567,E02000588,
568,E02000589,2.0
569,E02000590,1.0
570,E02000591,2.0
571,E02000592,4.0
572,E02000593,2.0
573,E02000594,2.0
574,E02000595,3.0
575,E02000596,3.0
576,E02000597,1.0
577,E02000598,
578,E02000599,
579,E02000600,1.0
580,E02000601,2.0
581,E02000602,1.0
582,E02000603,3.0
583,E02000604,3.0
584,E02000605,
585,E02000606,7.0
586,E02000607,
587,E02000608,4.0
588,E02000609,1.0
589,E02000610,2.0
590,E02000611,1.0
591,E02000612,1.0
592,E02000613,1.0
593,E02000614,4.0
594,E02000615,5.0
595,E02000616,
596,E02000617,2.0
597,E02000619,1.0
598,E02000620,3.0
599,E02000621,6.0
600,E02000622,
601,E02000623,
602,E02000624,4.0
603,E02000625,4.0
604,E02000626,
605,E02000627,
606,E02000628,4.0
607,E02000629,1.0
608,E02000630,6.0
609,E02000631,3.0
610,E02000632,1.0
611,E02000633,3.0
612,E02000634,1.0
613,E02000635,3.0
614,E02000636,4.0
615,E02000637,2.0
616,E02000638,3.0
617,E02000639,1.0
618,E02000640,
619,E02000641,1.0
620,E02000642,1.0
621,E02000643,4.0
622,E02000644,3.0
623,E02000645,2.0
624,E02000646,4.0
625,E02000647,1.0
626,E02000648,1.0
627,E02000649,3.0
628,E02000650,3.0
629,E02000651,1.0
630,E02000652,1.0
631,E02000653,3.0
632,E02000654,
633,E02000655,1.0
634,E02000657,2.0
635,E02000658,
636,E02000659,
637,E02000660,1.0
638,E02000661,1.0
639,E02000662,2.0
640,E02000663,1.0
641,E02000664,7.0
642,E02000665,2.0
643,E02000666,1.0
644,E02000667,2.0
645,E02000668,1.0
646,E02000669,3.0
647,E02000670,3.0
648,E02000671,2.0
649,E02000672,5.0
650,E02000673,2.0
651,E02000674,
652,E02000675,2.0
653,E02000676,
654,E02000677,
655,E02000678,1.0
656,E02000679,
657,E02000680,1.0
658,E02000681,4.0
659,E02000682,2.0
660,E02000683,
661,E02000685,1.0
662,E02000686,1.0
663,E02000687,2.0
664,E02000689,4.0
665,E02000690,
666,E02000691,5.0
667,E02000692,4.0
668,E02000693,7.0
669,E02000694,2.0
670,E02000695,1.0
671,E02000696,2.0
672,E02000697,3.0
673,E02000698,1.0
674,E02000699,2.0
675,E02000700,
676,E02000701,2.0
677,E02000702,
678,E02000703,1.0
679,E02000704,4.0
680,E02000705,1.0
681,E02000706,4.0
682,E02000707,1.0
683,E02000708,1.0
684,E02000709,
685,E02000710,
686,E02000711,4.0
687,E02000712,
688,E02000713,1.0
689,E02000714,
690,E02000715,
691,E02000716,1.0
692,E02000717,1.0
693,E02000718,
694,E02000719,1.0
695,E02000720,
696,E02000721,2.0
697,E02000722,2.0
698,E02000723,
699,E02000724,1.0
700,E02000725,5.0
701,E02000726,4.0
702,E02000727,
703,E02000728,
704,E02000729,
705,E02000730,2.0
706,E02000731,4.0
707,E02000732,
708,E02000733,
709,E02000734,
710,E02000735,1.0
711,E02000736,
712,E02000737,1.0
713,E02000738,1.0
714,E02000739,1.0
715,E02000740,
716,E02000741,
717,E02000742,
718,E02000743,3.0
719,E02000744,
720,E02000745,
721,E02000746,7.0
722,E02000747,4.0
723,E02000748,
724,E02000749,
725,E02000750,1.0
726,E02000751,2.0
727,E02000752,1.0
728,E02000753,
729,E02000754,
730,E02000755,1.0
731,E02000756,3.0
732,E02000757,4.0
733,E02000758,
734,E02000759,1.0
735,E02000760,1.0
736,E02000762,
737,E02000763,1.0
738,E02000764,3.0
739,E02000765,1.0
740,E02000767,3.0
741,E02000768,
742,E02000769,2.0
743,E02000770,
744,E02000772,1.0
745,E02000773,1.0
746,E02000774,2.0
747,E02000776,
748,E02000777,1.0
749,E02000779,1.0
750,E02000780,7.0
751,E02000781,
752,E02000782,1.0
753,E02000783,
754,E02000784,1.0
755,E02000785,2.0
756,E02000786,3.0
757,E02000787,2.0
758,E02000788,4.0
759,E02000789,3.0
760,E02000790,1.0
761,E02000791,5.0
762,E02000792,1.0
763,E02000793,4.0
764,E02000794,3.0
765,E02000795,1.0
766,E02000796,
767,E02000797,6.0
768,E02000798,1.0
769,E02000799,1.0
770,E02000800,1.0
771,E02000801,2.0
772,E02000802,2.0
773,E02000803,2.0
774,E02000804,3.0
775,E02000805,1.0
776,E02000806,1.0
777,E02000807,1.0
778,E02000808,10.0
779,E02000809,6.0
780,E02000810,4.0
781,E02000812,6.0
782,E02000813,2.0
783,E02000814,
784,E02000815,4.0
785,E02000816,2.0
786,E02000817,
787,E02000818,3.0
788,E02000819,1.0
789,E02000820,1.0
790,E02000821,1.0
791,E02000822,1.0
792,E02000823,2.0
793,E02000824,1.0
794,E02000825,
795,E02000826,1.0
796,E02000827,6.0
797,E02000828,5.0
798,E02000829,3.0
799,E02000830,1.0
800,E02000831,2.0
801,E02000832,1.0
802,E02000833,2.0
803,E02000834,2.0
804,E02000835,
805,E02000836,2.0
806,E02000837,1.0
807,E02000838,2.0
808,E02000839,
809,E02000840,1.0
810,E02000841,2.0
811,E02000842,2.0
812,E02000843,3.0
813,E02000844,
814,E02000845,3.0
815,E02000846,1.0
816,E02000847,1.0
817,E02000848,2.0
818,E02000849,
819,E02000850,2.0
820,E02000851,6.0
821,E02000852,1.0
822,E02000853,1.0
823,E02000854,3.0
824,E02000855,3.0
825,E02000856,6.0
826,E02000857,2.0
827,E02000858,1.0
828,E02000859,1.0
829,E02000860,
830,E02000861,1.0
831,E02000863,
832,E02000864,2.0
833,E02000865,2.0
834,E02000866,2.0
835,E02000867,1.0
836,E02000868,2.0
837,E02000869,2.0
838,E02000870,1.0
839,E02000871,2.0
840,E02000872,2.0
841,E02000873,3.0
842,E02000874,2.0
843,E02000875,1.0
844,E02000876,6.0
845,E02000877,2.0
846,E02000878,6.0
847,E02000879,
848,E02000880,1.0
849,E02000881,
850,E02000882,1.0
851,E02000883,3.0
852,E02000884,4.0
853,E02000885,2.0
854,E02000886,1.0
855,E02000887,
856,E02000888,1.0
857,E02000889,1.0
858,E02000890,2.0
859,E02000891,6.0
860,E02000893,
861,E02000894,
862,E02000895,
863,E02000896,3.0
864,E02000897,1.0
865,E02000898,1.0
866,E02000899,3.0
867,E02000900,3.0
868,E02000901,1.0
869,E02000902,
870,E02000903,2.0
871,E02000904,
872,E02000905,1.0
873,E02000906,
874,E02000907,2.0
875,E02000908,2.0
876,E02000909,1.0
877,E02000910,1.0
878,E02000911,7.0
879,E02000912,1.0
880,E02000913,1.0
881,E02000914,3.0
882,E02000915,1.0
883,E02000916,3.0
884,E02000917,1.0
885,E02000918,2.0
886,E02000919,
887,E02000920,3.0
888,E02000921,1.0
889,E02000922,
890,E02000923,1.0
891,E02000924,6.0
892,E02000925,
893,E02000926,3.0
894,E02000927,1.0
895,E02000928,1.0
896,E02000929,
897,E02000930,6.0
898,E02000931,
899,E02000932,7.0
900,E02000933,3.0
901,E02000934,5.0
902,E02000935,1.0
903,E02000936,3.0
904,E02000937,
905,E02000938,
906,E02000939,
907,E02000940,8.0
908,E02000941,1.0
909,E02000942,3.0
910,E02000943,6.0
911,E02000944,1.0
912,E02000945,4.0
913,E02000946,2.0
914,E02000947,1.0
915,E02000948,
916,E02000949,2.0
917,E02000950,1.0
918,E02000951,2.0
919,E02000952,2.0
920,E02000953,2.0
921,E02000954,2.0
922,E02000955,
923,E02000956,1.0
924,E02000957,6.0
925,E02000958,1.0
926,E02000959,1.0
927,E02000960,1.0
928,E02000961,
929,E02000962,
930,E02000963,
931,E02000964,3.0
932,E02000965,
933,E02000966,2.0
934,E02000967,8.0
935,E02000968,3.0
936,E02000969,
937,E02000970,5.0
938,E02000971,4.0
939,E02000972,11.0
940,E02000973,3.0
941,E02000974,3.0
942,E02000975,3.0
943,E02000976,6.0
944,E02000977,13.0
945,E02000978,3.0
946,E02000979,6.0
947,E02000980,1.0
948,E02000981,3.0
949,E02000982,5.0
950,E02000983,1.0
951,E02006782,1.0
952,E02006783,1.0
953,E02006784,2.0
954,E02006785,
955,E02006786,
956,E02006787,2.0
957,E02006788,1.0
958,E02006789,2.0
959,E02006791,1.0
960,E02006792,7.0
961,E02006793,2.0
962,E02006794,2.0
963,E02006795,1.0
964,E02006796,5.0
965,E02006798,4.0
966,E02006799,2.0
967,E02006800,1.0
968,E02006801,11.0
969,E02006802,4.0
970,E02006836,
971,E02006853,2.0
972,E02006854,6.0
973,E02006882,
974,E02006918,1.0
975,E02006921,1.0
976,E02006924,2.0
977,E02006925,2.0
978,E02006927,3.0
979,E02006928,5.0
980,E02006929,9.0
981,E02006930,6.0
982,E02006931,4.0
